day,id,time,БВТ2101,БВТ2102,БВТ2103,БВТ2104,БВТ2105,БВТ2106,БВТ2107,БВТ2108
ПН,1,9:30-11:05,"Основы DevOps 
 Городничев М.Г.  лек
(до 29.05.2022)  Ауд. 221","Основы DevOps 
 Городничев М.Г.  лек
(до 29.05.2022) Ауд.221","Основы DevOps 
 Городничев М.Г.  лек
(до 29.05.2022) Ауд.221","Основы DevOps 
 Городничев М.Г.  лек
(до 29.05.2022)  Ауд.221","Физика
Тренин А.Е.  пр
 (до 15.05.2022)
Ауд.456",,,"Иностранный язык 
Павлова А.Ю.   пр
(до 22.05.2022)
Ауд.324"
,,,"Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022)  Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022) Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022) Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022) Ауд.221","Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная ауд. Л-208",,,
,2,11:20-12:55,"Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022)  Ауд.221","Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022) Ауд.221","Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022) Ауд.221","Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022) Ауд.221","Элективные дисциплины по физической культуре
Горячева Н.Н.  Пр","Иностранный язык 
Павлова А.Ю.   пр
(до 22.05.2022)
Ауд.454",,"Высшая математика 
Александров Ю.Л.  пр
(до 29.05.2022)
Ауд.302"
,,,"Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022)   Ауд. 301","Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022)   Ауд. 301","Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022)   Ауд. 301","Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022)   Ауд. 301","Введение в информационные технологии 
Мкртчян Г.М.  лаб
Авиамоторная ауд. Л-208",,,"Высшая математика 
Александров Ю.Л.  ауд, 302  пр"
,3,13:10-14:45,"Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022)  Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022) Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022) Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022) Ауд.221","Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022) 
Ауд. 218","Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022)
Ауд. 227","Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022)
Ауд. 227","Русский язык и культура речи
Бочарова Т.И.  лек
(до 17.04.2022)
Ауд. 227"
,,,"Физика 
Латышев С.В.  лек
(до 15.05.2022) Ауд. 226","Физика 
Латышев С.В.  лек
(до 15.05.2022) Ауд. 226","Физика 
Латышев С.В.  лек
(до 15.05.2022) Ауд. 226","Физика 
Латышев С.В.  лек
(до 15.05.2022) Ауд. 226",,,"Микропроцессорные системы
Нехорошев Ю.И.  пр
(до 15.05.2022)
ВЦ118","Русский язык и культура речи
Бочарова Т.И.  ауд,302  пр
(до 29.05.2022)"
,4,15:25-17:00,"Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022) Ауд.301","Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022) Ауд.301","Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022) Ауд.301","Высшая математика 
Фроловичев С.М.  лек
(до 29.05.2022) Ауд.301","Русский язык и культура речи
Бочарова Т.И.  пр
(до 29.05.2022)
Ауд.308","Физика 
Осичева Л.В.  пр
(до 15.05.2022)
Ауд.330а","Иностранный язык
Павлова А.Ю.   пр
 (до 22.05.2022)
Ауд.216","Микропроцессорные системы
Нехорошев Ю.И. пр
(до 15.05.2022)
Ауд. ВЦ116"
,,,"Элективные дисциплины по физической культуре
Симкачёва Т.В.  1001  пр",,,"История 
Кунц Е.В.  пр
(с 23.05. по 29.05.2022) Ауд.318",,,"Микропроцессорные системы
Нехорошев Ю.И.   лаб
(с 07.02 по 22.05.2022) ауд. 216А","Элективные дисциплины по физической культуре
Королёва С.А.  Пр"
,5,17:15-18:50,,,,,,,"Русский язык и культура речи
Бочарова Т.И.  пр
(до 29.05.2022)
Ауд.314",
,,,,,,,,,,
